1;3S MOTORS;Akwa;DOUALA;;696068376;20/01/2020;CM403801;iWL220;IWL221-01T1387A;13274WL20937746;13274WL20937803;ORANGE;8923.7021.2051.2218.2324
2;3S MOTORS;Bonapriso;DOUALA;;;22/12/2020;CM403803;iWL220;IWL221-01T2194A;17073WL25889599;;ORANGE;8923,7021,4093,8428,7892
3;5 FOURCHETTES (MELAN'S SARL);Bonamoussadi;DOUALA;KRISHNA KOMAR GIOSAI;671345809;10/01/2020;CM839801;IWL220;IWL221-01T1387A;15290WL23650206;;ORANGE;8923,7022,0092,8046,6290
4;ADAMAOUA  GRAND HOTEL;NEW BELL;DOUALA;BAKENDJA;659450125;09/03/2020;CM841701;IWL220;IWL221-01T2194A;17072WL25889919;;ORANGE;8923,7022,0092,8046,6126
5;ADAMAOUA GRAND HOTEL;Akwa;DOUALA;DJIDJE MEDJE Chanceline;693610018;17/01/2020;CM841702;iWL220;IWL221-01T1387A;15290WL23650170;15279WL23597896;ORANGE;
6;ADC;Aeroport;DOUALA;ABENA Laurent;694861874;16/01/2020;CM404901;iWL220;IWL221-01T1387A;13274WL20937507;13275WL20937507;ORANGE;
7;ADC;NSIMALEN;YAOUNDE;NGAMBAN Pulcherie;699641942;06/02/2020;CM403201;IWL220;IWL221-01T1387A;15290WL23651779;14142WL21769034;ORANGE;8923.7021.4013.9314.3760
8;ADC;NSIMALEN;YAOUNDE;AYISSI MARIE;;06/02/2020;CM404902;IWL220;IWL221-01T1387A;13084WL20338393;12333WL61330629;ORANGE;8923.7021.4023.9112.1451
9;ADYS HOTEL PLAZA;PAIN GROUND CENTRE CLIMATIQUE;DSCHANG;KAMAYOU TAMBA CELESTIN;696252979;11/03/2021;CM854601;IWL220;IWL221-01T2194A;17073WL25896671;;NEXTTEL;8923.7040.0274.1669.9988
10;AFRICAN HOTEL DEV'T (ONOMO HOTEL);Bonanjo;DOUALA;ZUKO  OLIVIA;695000000;22/01/2020;CM849601;IWL220;IWL221-01T2194A;17073WL25896892;;ORANGE;8923,7022,0092,8046,6498
11;AFRICAN HOTEL DEV'T (ONOMO HOTEL);Bonanjo;DOUALA;ZUKO  OLIVIA;695000000;06/08/2020;CM849602;Move3500;TWE-31310403C;1,93157E+23;;ORANGE;8923.7021.8041.8052.4474
12;AFRICAN HOTEL DEV'T (ONOMO HOTEL);Bonanjo;DOUALA;ZUKO  OLIVIA;695000000;22/01/2020;CM849603;iWL220;IWL221-01T2194A;17073WL25896569;;ORANGE;8923,7022,0092,8046,6381
13;AFRICAN HOTEL DEV'T (ONOMO HOTEL);Bonanjo;DOUALA;ZUKO  OLIVIA;695000000;22/01/2020;CM849604;iCT220;ICT220-01T1073F;13226CT20738581;;ETHERNET;
14;AFRICAN SOUL MARKET;Bonapriso - Pres de Dominique Savio;DOUALA;;;21/12/2020;CM853701;iWL220;IWL221-01T2194A;17072WL25890022;;ORANGE;8923.7021.8042.8401.4471
15;AIGLE VOYAGE;AKWA;DOUALA;AJOUMESSI FRANCOIS;677053829;27/01/2020;CM403101;IWL220;IWL221-01T1387A;14135WL21746516;13274WL20937788;ORANGE;8923.7021.8041.8052.4474
16;AIGLE VOYAGE;CALAFATAS;YAOUNDE;;;23/01/2020;CM403102;IWL220;IWL221-01T1387A;13273WL20936327;13274WL20937810;ORANGE;8923.7021.2051.2218.2274
17;AIR 6 ( JEU DE MODE);NLONGKAK;YAOUNDE;DJAMPOU MARIUS;677765485;27/01/2020;CM842403;IWL220;IWL221-01T2194A;17072WL25889516;14139WL21755960;ORANGE;
18;AKOMART;Etoa Meki;YAOUNDE;MBANI ANGELE;677303889;21/01/2020;CM932001;IWL220;IWL221-01T1387A;16166WL24545663;15279WL23597793;ORANGE;8923.7021.4013.9314.3919
19;AKWA PALACE;Akwa;DOUALA;Akwa Palace;-;08/01/2020;CM834405;iWL220;IWL221-01T1387A;14142WL21768123;;ORANGE;8923.7021.3051.2058.8454
20;AKWA PALACE;Akwa;DOUALA;MENYE ELESSO J.W;693116558;30/01/2020;CM834406;iWL220;IWL221-01T2194A;17072WL25889880;;ORANGE;8923.7021.4023.9112.1345
21;AKWA PALACE;Akwa;DOUALA;MENYE ELESSO J.W;693116558;30/01/2020;CM834407;iWL220;IWL221-01T2194A;17072WL25890506;;ORANGE;8923.7021.4023.9112.1345
22;AKWA PALACE (Bistol);Akwa;DOUALA;MENYE ELESSO J.W;693116558;21/12/2019;CM001602;iWL220;IWL221-01T1387A;14142WL21768178;;ORANGE;8923.7021.2051.2101.2162
23;AKWA PALACE (Buffet);Akwa;DOUALA;MENYE ELESSO J.W;693116558;21/12/2019;CM834404;iWL220;IWL221-01T2194A;17073WL25896315;15279WL23597855;ORANGE;8923.7021.3051.2036.1732
